,created_at,name,screen_name,description,id,location,followers_count,following_count,listed_count,tweet_count
0,2016-10-30T05:57:24.000Z,MotivationalQuotes,motive_quotess,Daily Motivational Quotes,792606308453146624,Earth,18380,44,109,2918
1,2019-07-20T08:29:29.000Z,Daily Motivation,dailymotiv8ion,"People often say that motivation doesn't last. Well, neither does bathing - that's why we recommend it daily. Follow for Daily Motivation.",1152495731216793600,"Detroit, MI",61271,32937,375,1608
2,2008-01-26T20:19:33.000Z,Motivational Quotes,motivational,"Sharing motivational inspirational quotes so you can feel feelings you've never felt. Author, speaker. -Shawn 
Press requests: info (a-t) motivational(dot)net",12728672,Toronto,1104561,319,4639,22747
3,2011-06-13T07:20:09.000Z,Motivational Quotes,InsipereLifeMe,We love inspirational and motivational quotes. Every person has got a quote that helps them be the best they can be.,316298392,"Minneapolis",97418,2035,368,77213
4,2016-05-19T09:21:38.000Z,Motivational Quotes,therandomvibez,"Inspirational Quotes, Love Quotes, Funny Quotes, Motivational Quotes, Famous Quotes, Daily 
https://t.co/oODmwbYCVs",733226095332450304,United States,135293,19,405,5841
5,2021-01-03T01:36:42.000Z,Motivational Quotes ✍️,lifeliker_net,Quotes 🎆 | Follow back 💯,1345544510374199297,Tech Blog  👉,4157,4577,1,133
6,2016-06-14T18:07:12.000Z,Six Word Quotes,ernest6words,"Writing a bio is highly overrated! #ernest6words #sixwordstories #sixwordquotes #NoPorn 
Will follow everyone who follows me.",742780442592579584,India,50273,54947,225,3465
7,2011-09-23T21:34:27.000Z,Inspirational Quotes,TheQuoteBoook_,"""When someone else's happiness is your happiness, that is love."" - Lana Del Rey 💫 #Quotes #Inspiration #Happiness ✨

Follow my other account @Motivation_100_",378819758,,203826,21182,390,13561
8,2016-09-21T08:57:43.000Z,Inspirational Quotes,SeffSaid,"Inspirational quotes and sayings from amazing people about life, love, friendship, happiness, confidence, time passing & more. I do not own any content posted.",778518558145933312,,928328,1,1100,47460
9,2016-02-27T17:16:06.000Z,Inspirational Quotes,Inspire_9,The BEST Inspirational Quotes out there!,703629692050345984,India,51580,23698,70,5087
10,2014-06-01T08:30:50.000Z,Success Minded,_SuccessMinded_,"Inspirational Quotes, Motivation & Thoughts.

💯FOLLOW FOR DAILY INSPIRATION💯",2539091210,⬇️Instagram & Newsletter,481475,4933,945,41533
11,2016-10-30T05:57:24.000Z,MotivationalQuotes,motive_quotess,Daily Motivational Quotes,792606308453146624,Earth,18380,44,109,2918
12,2019-07-20T08:29:29.000Z,Daily Motivation,dailymotiv8ion,"People often say that motivation doesn't last. Well, neither does bathing - that's why we recommend it daily. Follow for Daily Motivation.",1152495731216793600,"Detroit, MI",61271,32937,375,1608
13,2008-01-26T20:19:33.000Z,Motivational Quotes,motivational,"Sharing motivational inspirational quotes so you can feel feelings you've never felt. Author, speaker. -Shawn 
Press requests: info (a-t) motivational(dot)net",12728672,Toronto,1104561,319,4639,22747
14,2011-06-13T07:20:09.000Z,Motivational Quotes,InsipereLifeMe,We love inspirational and motivational quotes. Every person has got a quote that helps them be the best they can be.,316298392,"Minneapolis",97418,2035,368,77213
15,2016-05-19T09:21:38.000Z,Motivational Quotes,therandomvibez,"Inspirational Quotes, Love Quotes, Funny Quotes, Motivational Quotes, Famous Quotes, Daily 
https://t.co/oODmwbYCVs",733226095332450304,United States,135293,19,405,5841
16,2021-01-03T01:36:42.000Z,Motivational Quotes ✍️,lifeliker_net,Quotes 🎆 | Follow back 💯,1345544510374199297,Tech Blog  👉,4157,4577,1,133
17,2016-06-14T18:07:12.000Z,Six Word Quotes,ernest6words,"Writing a bio is highly overrated! #ernest6words #sixwordstories #sixwordquotes #NoPorn 
Will follow everyone who follows me.",742780442592579584,India,50273,54947,225,3465
18,2011-09-23T21:34:27.000Z,Inspirational Quotes,TheQuoteBoook_,"""When someone else's happiness is your happiness, that is love."" - Lana Del Rey 💫 #Quotes #Inspiration #Happiness ✨

Follow my other account @Motivation_100_",378819758,,203826,21182,390,13561
19,2016-09-21T08:57:43.000Z,Inspirational Quotes,SeffSaid,"Inspirational quotes and sayings from amazing people about life, love, friendship, happiness, confidence, time passing & more. I do not own any content posted.",778518558145933312,,928328,1,1100,47460
20,2016-02-27T17:16:06.000Z,Inspirational Quotes,Inspire_9,The BEST Inspirational Quotes out there!,703629692050345984,India,51580,23698,70,5087
21,2014-06-01T08:30:50.000Z,Success Minded,_SuccessMinded_,"Inspirational Quotes, Motivation & Thoughts.

💯FOLLOW FOR DAILY INSPIRATION💯",2539091210,⬇️Instagram & Newsletter,481475,4933,945,41533
